Taxon	
mgm4637862.3	
ABC transporters	33979	
ATP synthases	10628	
Acid stress	2503	
Adhesion	2354	
Alanine, serine, and glycine	47594	
Aminosugars	12320	
Anaerobic degradation of aromatic compounds	12743	
Arginine; urea cycle, polyamines	53026	
Aromatic amino acids and derivatives	42813	
Bacterial cytostatics, differentiation factors and antibiotics	1352	
Bacteriocins, ribosomally synthesized antibacterial peptides	462	
Biologically active compounds in metazoan cell defence and differentiation	4517	
Biosynthesis of galactoglycans and related lipopolysacharides	26931	
Biosynthesis of phenylpropanoids	970	
Biotin	25127	
Branched-chain amino acids	92013	
CO2 fixation	53412	
CRISPRs and associated hypotheticals	173	
CRISPs	447	
Capsular and extracellular polysacchrides	59488	
Carbohydrates	4554	
Carotenoid biosynthesis	2223	
Catabolism of an unknown compound	1893	
Cell Division	20123	
Cell wall of Mycobacteria	19151	
Central carbohydrate metabolism	192040	
Chemotaxis, response regulators	531	
Choline bitartrate degradation, putative	3049	
Chromosome Replication	1978	
Clustering-based subsystems	21376	
Coenzyme A	11246	
Coenzyme B	16	
Coenzyme F420	2476	
Coenzyme M	576	
Cold shock	1588	
Cytochrome biogenesis	15945	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	3012	
DNA metabolism	378	
DNA polymerase III epsilon cluster	3105	
DNA recombination	4989	
DNA repair	94849	
DNA replication	87817	
DNA uptake, competence	4554	
Dessication stress	18	
Detection	13734	
Detoxification	10207	
Di- and oligosaccharides	68016	
Electron accepting reactions	37552	
Electron donating reactions	73694	
Electron transport and photophosphorylation	164	
Fatty acid metabolic cluster	39721	
Fatty acids	73449	
Fermentation	50812	
Flagella protein?	931	
Flagellar motility in Prokaryota	27748	
Folate and pterines	154533	
Gene Transfer Agent (GTA)	634	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	44848	
Glycoside hydrolases	2535	
Gram-Negative cell wall components	36515	
Gram-Positive cell wall components	6560	
Heat shock	23320	
Histidine Metabolism	18024	
Hypothetical Related to Dihydroorate Dehydrogenase	1119	
Hypothetical associated with RecF	947	
Hypothetical in Lysine biosynthetic cluster	3705	
Hypothetical lipase related to Phosphatidate metabolism	2228	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4724	
Inorganic sulfur assimilation	18522	
Invasion and intracellular resistance	453	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	11004	
Isoprenoids	32062	
Light-harvesting complexes	19	
Lipid-derived mediators	259	
Lipoic acid	2999	
Lysine Biosynthesis	960	
Lysine, threonine, methionine, and cysteine	122627	
Metabolism of central aromatic intermediates	26874	
Methylamine utilization	14063	
Molybdopterin oxidoreductase	4354	
Monosaccharides	87155	
NAD and NADP	20961	
