Taxon	
mgm4637819.3	
ABC transporters	53048	
ATP synthases	12485	
Acid stress	2576	
Adhesion	2340	
Alanine, serine, and glycine	60267	
Aminosugars	14502	
Anaerobic degradation of aromatic compounds	16933	
Arginine; urea cycle, polyamines	66632	
Aromatic amino acids and derivatives	53752	
Bacterial cytostatics, differentiation factors and antibiotics	1966	
Bacteriocins, ribosomally synthesized antibacterial peptides	575	
Biologically active compounds in metazoan cell defence and differentiation	6485	
Biosynthesis of galactoglycans and related lipopolysacharides	32393	
Biosynthesis of phenylpropanoids	1682	
Biotin	33077	
Branched-chain amino acids	115816	
CO2 fixation	69300	
CRISPRs and associated hypotheticals	621	
CRISPs	1089	
Capsular and extracellular polysacchrides	71827	
Carbohydrates	6349	
Carotenoid biosynthesis	2909	
Catabolism of an unknown compound	3003	
Cell Division	25588	
Cell wall of Mycobacteria	25363	
Central carbohydrate metabolism	243483	
Chemotaxis, response regulators	515	
Choline bitartrate degradation, putative	3857	
Chromosome Replication	2221	
Clustering-based subsystems	29585	
Coenzyme A	13713	
Coenzyme B	43	
Coenzyme F420	4558	
Coenzyme M	986	
Cold shock	1848	
Cytochrome biogenesis	21246	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	4096	
DNA metabolism	269	
DNA polymerase III epsilon cluster	3298	
DNA recombination	6244	
DNA repair	114519	
DNA replication	102128	
DNA uptake, competence	5500	
Dessication stress	20	
Detection	17913	
Detoxification	11819	
Di- and oligosaccharides	84838	
Electron accepting reactions	44164	
Electron donating reactions	96465	
Electron transport and photophosphorylation	93	
Fatty acid metabolic cluster	50184	
Fatty acids	94113	
Fermentation	64792	
Flagella protein?	715	
Flagellar motility in Prokaryota	27111	
Folate and pterines	192968	
Gene Transfer Agent (GTA)	586	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	56162	
Glycoside hydrolases	2605	
Gram-Negative cell wall components	39369	
Gram-Positive cell wall components	7778	
Heat shock	28335	
Histidine Metabolism	23569	
Hypothetical Related to Dihydroorate Dehydrogenase	1056	
Hypothetical associated with RecF	996	
Hypothetical in Lysine biosynthetic cluster	4363	
Hypothetical lipase related to Phosphatidate metabolism	2727	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	5448	
Inorganic sulfur assimilation	23516	
Invasion and intracellular resistance	399	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	13075	
Isoprenoids	40146	
Light-harvesting complexes	11	
Lipid-derived mediators	240	
Lipoic acid	3495	
Lysine Biosynthesis	766	
Lysine, threonine, methionine, and cysteine	148040	
Metabolism of central aromatic intermediates	33854	
Methylamine utilization	19378	
Molybdopterin oxidoreductase	4418	
Monosaccharides	102099	
NAD and NADP	25625	
Nucleotidyl-phosphate metabolic cluster	24646	
One-carbon Metabolism	116881	
Organic acids	53502	
Organic sulfur assimilation	21292	
Osmotic stress	19263	
Oxidative stress	57089	
Pathogenicity islands	16258	
Peripheral pathways for catabolism of aromatic compounds	57811	
Periplasmic Stress	3345	
Phages, Prophages	49539	
Phosphate metabolism	6656	
Phospholipids	37270	
Plant Alkaloids	1036	
Plant Hormones	12233	
Plant Octadecanoids	22	
Plant-Prokaryote DOE project	405172	
Plasmid related functions	524	
Polysaccharides	27566	
Probably GTP or GMP signaling related	10136	
Probably Pyrimidine biosynthesis-related	2816	
Probably Ybbk-related hypothetical membrane proteins	1799	
Probably organic hydroperoxide resistance related hypothetical protein	1405	
Programmed Cell Death and Toxin-antitoxin Systems	2906	
Proline and 4-hydroxyproline	19589	
Proteasome related clusters	62	
Protein and nucleoprotein secretion system, Type IV	8511	
Protein biosynthesis	227377	
Protein degradation	67502	
Protein export?	14131	
Protein folding	37762	
Protein processing and modification	60252	
Protein secretion system, Type I	615	
Protein secretion system, Type II	17040	
Protein secretion system, Type III	602	
Protein secretion system, Type V	132	
Protein secretion system, Type VI	12398	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	67	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	961	
Protein translocation across cytoplasmic membrane	22288	
Proteolytic pathway	97	
Purines	78287	
Putative GGDEF domain protein related to agglutinin secretion	286	
Putative Isoquinoline 1-oxidoreductase subunit	6764	
Putative asociate of RNA polymerase sigma-54 factor rpoN	17767	
Putrescine/GABA utilization cluster-temporal,to add to SSs	5294	
Pyridoxine	22903	
Pyrimidines	59184	
Pyruvate kinase associated cluster	4339	
Quinone cofactors	21303	
Quorum sensing and biofilm formation	4825	
RNA processing and modification	126084	
Recombination related cluster	1778	
Regulation of virulence	13532	
Related to Menaquinone-cytochrome C reductase 	530	
Resistance to antibiotics and toxic compounds	100620	
Reverse electron transport	252	
Riboflavin, FMN, FAD	10958	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	8983	
Ribosome-related cluster	9432	
Sarcosine oxidase	2956	
Selenoproteins	21590	
Shiga toxin cluster	4481	
Siderophores	5637	
Signal transduction in Eukaryotes	2	
Social motility and nonflagellar swimming in bacteria	172	
Sodium Ion-Coupled Energetics	666	
Spore DNA protection	1	
Sugar Phosphotransferase Systems, PTS	2433	
Sugar alcohols	36543	
