Taxon	
mgm4637855.3	
ABC transporters	26465	
ATP synthases	6180	
Acid stress	1510	
Adhesion	1654	
Alanine, serine, and glycine	29344	
Aminosugars	5741	
Anaerobic degradation of aromatic compounds	9984	
Arginine; urea cycle, polyamines	36580	
Aromatic amino acids and derivatives	29955	
Bacterial cytostatics, differentiation factors and antibiotics	973	
Bacteriocins, ribosomally synthesized antibacterial peptides	287	
Biologically active compounds in metazoan cell defence and differentiation	2770	
Biosynthesis of galactoglycans and related lipopolysacharides	16579	
Biosynthesis of phenylpropanoids	924	
Biotin	19622	
Branched-chain amino acids	63423	
CO2 fixation	36991	
CRISPRs and associated hypotheticals	398	
CRISPs	854	
Capsular and extracellular polysacchrides	38721	
Carbohydrates	2811	
Carotenoid biosynthesis	3084	
Catabolism of an unknown compound	658	
Cell Division	12252	
Cell wall of Mycobacteria	15347	
Central carbohydrate metabolism	126031	
Chemotaxis, response regulators	304	
Choline bitartrate degradation, putative	2626	
Chromosome Replication	1490	
Clustering-based subsystems	14440	
Coenzyme A	7404	
Coenzyme B	24	
Coenzyme F420	2156	
Coenzyme M	426	
Cold shock	900	
Cytochrome biogenesis	9797	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1146	
DNA metabolism	93	
DNA polymerase III epsilon cluster	1772	
DNA recombination	3054	
DNA repair	54811	
DNA replication	49383	
DNA uptake, competence	2680	
Dessication stress	3	
Detection	9105	
Detoxification	6168	
Di- and oligosaccharides	41096	
Electron accepting reactions	27410	
Electron donating reactions	51624	
Electron transport and photophosphorylation	8	
Fatty acid metabolic cluster	28821	
Fatty acids	57206	
Fermentation	39993	
Flagella protein?	806	
Flagellar motility in Prokaryota	19549	
Folate and pterines	99255	
Gene Transfer Agent (GTA)	130	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	29956	
Glycoside hydrolases	1303	
Gram-Negative cell wall components	28631	
Gram-Positive cell wall components	4353	
Heat shock	15338	
Histidine Metabolism	11529	
Hypothetical Related to Dihydroorate Dehydrogenase	601	
Hypothetical associated with RecF	456	
Hypothetical in Lysine biosynthetic cluster	2475	
Hypothetical lipase related to Phosphatidate metabolism	1381	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	2806	
Inorganic sulfur assimilation	11584	
Invasion and intracellular resistance	122	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	6851	
Isoprenoids	22247	
Light-harvesting complexes	3	
Lipid-derived mediators	163	
Lipoic acid	1636	
Lysine Biosynthesis	569	
Lysine, threonine, methionine, and cysteine	79254	
Metabolism of central aromatic intermediates	26488	
Methylamine utilization	11034	
Molybdopterin oxidoreductase	2711	
Monosaccharides	48965	
NAD and NADP	12620	
Nucleotidyl-phosphate metabolic cluster	12778	
One-carbon Metabolism	64307	
Organic acids	31492	
Organic sulfur assimilation	13564	
Osmotic stress	9913	
Oxidative stress	34489	
Pathogenicity islands	7641	
Peripheral pathways for catabolism of aromatic compounds	38339	
Periplasmic Stress	2548	
Phages, Prophages	25200	
Phosphate metabolism	3486	
Phospholipids	20676	
Plant Alkaloids	591	
Plant Hormones	7120	
Plant Octadecanoids	16	
Plant-Prokaryote DOE project	220914	
Plasmid related functions	754	
Polysaccharides	15860	
Probably GTP or GMP signaling related	5364	
Probably Pyrimidine biosynthesis-related	1458	
Probably Ybbk-related hypothetical membrane proteins	989	
Probably organic hydroperoxide resistance related hypothetical protein	806	
Programmed Cell Death and Toxin-antitoxin Systems	2580	
Proline and 4-hydroxyproline	9763	
Proteasome related clusters	15	
Protein and nucleoprotein secretion system, Type IV	5911	
Protein biosynthesis	111440	
Protein degradation	34392	
Protein export?	6990	
Protein folding	21191	
Protein processing and modification	33293	
Protein secretion system, Type I	97	
Protein secretion system, Type II	11508	
Protein secretion system, Type III	421	
Protein secretion system, Type V	146	
Protein secretion system, Type VI	7852	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	61	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	574	
Protein translocation across cytoplasmic membrane	11145	
Proteolytic pathway	274	
Purines	38285	
Putative GGDEF domain protein related to agglutinin secretion	116	
Putative Isoquinoline 1-oxidoreductase subunit	9443	
Putative asociate of RNA polymerase sigma-54 factor rpoN	7654	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3162	
Pyridoxine	11194	
Pyrimidines	30885	
Pyruvate kinase associated cluster	2353	
Quinone cofactors	11849	
Quorum sensing and biofilm formation	2113	
RNA processing and modification	66703	
Recombination related cluster	881	
Regulation of virulence	6745	
Related to Menaquinone-cytochrome C reductase 	230	
Resistance to antibiotics and toxic compounds	84047	
Reverse electron transport	39	
Riboflavin, FMN, FAD	5020	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	3889	
Ribosome-related cluster	4747	
Sarcosine oxidase	1845	
Selenoproteins	11149	
Shiga toxin cluster	2453	
Siderophores	2666	
Signal transduction in Eukaryotes	3	
Social motility and nonflagellar swimming in bacteria	74	
Sodium Ion-Coupled Energetics	255	
Spore DNA protection	1	
Sugar Phosphotransferase Systems, PTS	1252	
Sugar alcohols	16772	
