Taxon	
mgm4637814.3	
ABC transporters	30581	
ATP synthases	7396	
Acid stress	1908	
Adhesion	1537	
Alanine, serine, and glycine	34320	
Aminosugars	7902	
Anaerobic degradation of aromatic compounds	9658	
Arginine; urea cycle, polyamines	39590	
Aromatic amino acids and derivatives	29775	
Bacterial cytostatics, differentiation factors and antibiotics	896	
Bacteriocins, ribosomally synthesized antibacterial peptides	427	
Biologically active compounds in metazoan cell defence and differentiation	4171	
Biosynthesis of galactoglycans and related lipopolysacharides	18581	
Biosynthesis of phenylpropanoids	766	
Biotin	18909	
Branched-chain amino acids	66719	
CO2 fixation	38888	
CRISPRs and associated hypotheticals	206	
CRISPs	454	
Capsular and extracellular polysacchrides	44363	
Carbohydrates	3477	
Carotenoid biosynthesis	1598	
Catabolism of an unknown compound	1269	
Cell Division	14707	
Cell wall of Mycobacteria	14292	
Central carbohydrate metabolism	137665	
Chemotaxis, response regulators	308	
Choline bitartrate degradation, putative	2413	
Chromosome Replication	1204	
Clustering-based subsystems	16302	
Coenzyme A	7718	
Coenzyme B	31	
Coenzyme F420	2042	
Coenzyme M	454	
Cold shock	1144	
Cytochrome biogenesis	11780	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2078	
DNA metabolism	140	
DNA polymerase III epsilon cluster	1921	
DNA recombination	3670	
DNA repair	65181	
DNA replication	60772	
DNA uptake, competence	3154	
Dessication stress	8	
Detection	9804	
Detoxification	6706	
Di- and oligosaccharides	44890	
Electron accepting reactions	25689	
Electron donating reactions	53842	
Electron transport and photophosphorylation	91	
Fatty acid metabolic cluster	28840	
Fatty acids	54738	
Fermentation	36606	
Flagella protein?	524	
Flagellar motility in Prokaryota	16494	
Folate and pterines	111866	
Gene Transfer Agent (GTA)	508	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	33690	
Glycoside hydrolases	1610	
Gram-Negative cell wall components	25976	
Gram-Positive cell wall components	4930	
Heat shock	17162	
Histidine Metabolism	12733	
Hypothetical Related to Dihydroorate Dehydrogenase	710	
Hypothetical associated with RecF	488	
Hypothetical in Lysine biosynthetic cluster	2241	
Hypothetical lipase related to Phosphatidate metabolism	1546	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3320	
Inorganic sulfur assimilation	13193	
Invasion and intracellular resistance	297	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	7500	
Isoprenoids	22795	
Light-harvesting complexes	2	
Lipid-derived mediators	141	
Lipoic acid	2006	
Lysine Biosynthesis	504	
Lysine, threonine, methionine, and cysteine	85448	
Metabolism of central aromatic intermediates	19291	
Methylamine utilization	11016	
Molybdopterin oxidoreductase	3160	
Monosaccharides	57454	
NAD and NADP	14428	
Nucleotidyl-phosphate metabolic cluster	12639	
One-carbon Metabolism	68199	
Organic acids	31142	
Organic sulfur assimilation	12676	
Osmotic stress	11761	
Oxidative stress	33590	
Pathogenicity islands	9490	
Peripheral pathways for catabolism of aromatic compounds	32852	
Periplasmic Stress	2330	
Phages, Prophages	26912	
Phosphate metabolism	3730	
Phospholipids	20758	
Plant Alkaloids	752	
Plant Hormones	7064	
Plant Octadecanoids	16	
Plant-Prokaryote DOE project	233188	
Plasmid related functions	342	
Polysaccharides	15822	
Probably GTP or GMP signaling related	5800	
Probably Pyrimidine biosynthesis-related	1723	
Probably Ybbk-related hypothetical membrane proteins	1199	
Probably organic hydroperoxide resistance related hypothetical protein	696	
Programmed Cell Death and Toxin-antitoxin Systems	1698	
Proline and 4-hydroxyproline	11175	
Proteasome related clusters	91	
Protein and nucleoprotein secretion system, Type IV	5119	
Protein biosynthesis	134596	
Protein degradation	40243	
Protein export?	8770	
Protein folding	23483	
Protein processing and modification	35255	
Protein secretion system, Type I	502	
Protein secretion system, Type II	10501	
Protein secretion system, Type III	469	
Protein secretion system, Type V	82	
Protein secretion system, Type VI	8206	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	54	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	752	
Protein translocation across cytoplasmic membrane	13714	
Proteolytic pathway	55	
Purines	44227	
Putative GGDEF domain protein related to agglutinin secretion	226	
Putative Isoquinoline 1-oxidoreductase subunit	4452	
Putative asociate of RNA polymerase sigma-54 factor rpoN	8305	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3135	
Pyridoxine	12857	
Pyrimidines	34895	
Pyruvate kinase associated cluster	2626	
Quinone cofactors	12486	
Quorum sensing and biofilm formation	2562	
RNA processing and modification	75393	
Recombination related cluster	1128	
Regulation of virulence	8142	
Related to Menaquinone-cytochrome C reductase 	353	
Resistance to antibiotics and toxic compounds	60806	
Reverse electron transport	84	
Riboflavin, FMN, FAD	5841	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	4936	
Ribosome-related cluster	5207	
Sarcosine oxidase	1554	
Selenoproteins	11317	
Shiga toxin cluster	2927	
Siderophores	3657	
Signal transduction in Eukaryotes	1	
Social motility and nonflagellar swimming in bacteria	52	
Sodium Ion-Coupled Energetics	399	
Spore DNA protection	6	
Sugar Phosphotransferase Systems, PTS	1355	
Sugar alcohols	18632	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	5199	
Tetrapyrroles	19025	
Three hypotheticals linked to lipoprotein biosynthesis	1084	
TldD cluster	2666	
Toxins and superantigens	380	
Transcription	36221	
Translation	4832	
Transposable elements	4014	
Triacylglycerols	392	
Tricarboxylate transporter	6139	
Two related proteases	4883	
Uni- Sym- and Antiporters	2869	
alpha-proteobacterial cluster of hypotheticals	872	
proteosome related	3083	
recX and regulatory cluster	1360	
tRNA sulfuration	1965	

