Taxon	
mgm4637868.3	
ABC transporters	45034	
ATP synthases	10364	
Acid stress	2420	
Adhesion	1957	
Alanine, serine, and glycine	50490	
Aminosugars	11932	
Anaerobic degradation of aromatic compounds	14061	
Arginine; urea cycle, polyamines	56588	
Aromatic amino acids and derivatives	44191	
Bacterial cytostatics, differentiation factors and antibiotics	1379	
Bacteriocins, ribosomally synthesized antibacterial peptides	557	
Biologically active compounds in metazoan cell defence and differentiation	5546	
Biosynthesis of galactoglycans and related lipopolysacharides	26815	
Biosynthesis of phenylpropanoids	1122	
Biotin	26919	
Branched-chain amino acids	96518	
CO2 fixation	56886	
CRISPRs and associated hypotheticals	295	
CRISPs	603	
Capsular and extracellular polysacchrides	62366	
Carbohydrates	5100	
Carotenoid biosynthesis	2035	
Catabolism of an unknown compound	2072	
Cell Division	21603	
Cell wall of Mycobacteria	20628	
Central carbohydrate metabolism	201858	
Chemotaxis, response regulators	486	
Choline bitartrate degradation, putative	3547	
Chromosome Replication	1812	
Clustering-based subsystems	24716	
Coenzyme A	11787	
Coenzyme B	52	
Coenzyme F420	3165	
Coenzyme M	806	
Cold shock	1405	
Cytochrome biogenesis	16794	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2898	
DNA metabolism	211	
DNA polymerase III epsilon cluster	2783	
DNA recombination	5346	
DNA repair	95447	
DNA replication	85846	
DNA uptake, competence	4520	
Dessication stress	12	
Detection	14994	
Detoxification	9626	
Di- and oligosaccharides	68127	
Electron accepting reactions	35579	
Electron donating reactions	79299	
Electron transport and photophosphorylation	66	
Fatty acid metabolic cluster	41995	
Fatty acids	78587	
Fermentation	53484	
Flagella protein?	631	
Flagellar motility in Prokaryota	23174	
Folate and pterines	162125	
Gene Transfer Agent (GTA)	352	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	48191	
Glycoside hydrolases	2269	
Gram-Negative cell wall components	36663	
Gram-Positive cell wall components	6801	
Heat shock	24251	
Histidine Metabolism	19959	
Hypothetical Related to Dihydroorate Dehydrogenase	954	
Hypothetical associated with RecF	759	
Hypothetical in Lysine biosynthetic cluster	3514	
Hypothetical lipase related to Phosphatidate metabolism	2092	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4653	
Inorganic sulfur assimilation	18388	
Invasion and intracellular resistance	434	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	11035	
Isoprenoids	32806	
Light-harvesting complexes	7	
Lipid-derived mediators	205	
Lipoic acid	3025	
Lysine Biosynthesis	702	
Lysine, threonine, methionine, and cysteine	125144	
Metabolism of central aromatic intermediates	28200	
Methylamine utilization	15095	
Molybdopterin oxidoreductase	4262	
Monosaccharides	84340	
NAD and NADP	21135	
Nucleotidyl-phosphate metabolic cluster	18624	
One-carbon Metabolism	98970	
Organic acids	45153	
Organic sulfur assimilation	18251	
Osmotic stress	16174	
Oxidative stress	46834	
Pathogenicity islands	13337	
Peripheral pathways for catabolism of aromatic compounds	47366	
Periplasmic Stress	3259	
Phages, Prophages	37337	
Phosphate metabolism	5689	
Phospholipids	31092	
Plant Alkaloids	994	
Plant Hormones	10534	
Plant Octadecanoids	18	
Plant-Prokaryote DOE project	336818	
Plasmid related functions	334	
Polysaccharides	22903	
Probably GTP or GMP signaling related	8226	
Probably Pyrimidine biosynthesis-related	2447	
Probably Ybbk-related hypothetical membrane proteins	1383	
Probably organic hydroperoxide resistance related hypothetical protein	976	
Programmed Cell Death and Toxin-antitoxin Systems	2073	
Proline and 4-hydroxyproline	16086	
Proteasome related clusters	71	
Protein and nucleoprotein secretion system, Type IV	6948	
Protein biosynthesis	190631	
Protein degradation	58190	
Protein export?	12052	
Protein folding	32416	
Protein processing and modification	49786	
Protein secretion system, Type I	643	
Protein secretion system, Type II	14594	
Protein secretion system, Type III	553	
Protein secretion system, Type V	154	
Protein secretion system, Type VI	11378	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	53	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	1148	
Protein translocation across cytoplasmic membrane	18521	
Proteolytic pathway	94	
Purines	65252	
Putative GGDEF domain protein related to agglutinin secretion	259	
Putative Isoquinoline 1-oxidoreductase subunit	6705	
Putative asociate of RNA polymerase sigma-54 factor rpoN	13237	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3957	
Pyridoxine	18464	
Pyrimidines	50377	
Pyruvate kinase associated cluster	3695	
Quinone cofactors	18020	
Quorum sensing and biofilm formation	3964	
RNA processing and modification	108612	
Recombination related cluster	1670	
Regulation of virulence	11387	
Related to Menaquinone-cytochrome C reductase 	398	
Resistance to antibiotics and toxic compounds	88444	
Reverse electron transport	179	
Riboflavin, FMN, FAD	8812	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	7448	
Ribosome-related cluster	7936	
Sarcosine oxidase	2087	
Selenoproteins	18236	
Shiga toxin cluster	4279	
Siderophores	4771	
Signal transduction in Eukaryotes	5	
Social motility and nonflagellar swimming in bacteria	98	
Sodium Ion-Coupled Energetics	622	
Spore DNA protection	1	
Sugar Phosphotransferase Systems, PTS	2239	
Sugar alcohols	29042	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	6962	
Tetrapyrroles	28429	
Three hypotheticals linked to lipoprotein biosynthesis	1651	
TldD cluster	3919	
Toxins and superantigens	459	
Transcription	50982	
Translation	6453	
Transposable elements	5806	
Triacylglycerols	490	
Tricarboxylate transporter	6688	
Two related proteases	7434	
Uni- Sym- and Antiporters	3451	
alpha-proteobacterial cluster of hypotheticals	1054	
proteosome related	4968	
recX and regulatory cluster	2141	
tRNA sulfuration	2888	

