Taxon	
mgm4637858.3	
ABC transporters	46955	
ATP synthases	11357	
Acid stress	2705	
Adhesion	2220	
Alanine, serine, and glycine	55263	
Aminosugars	12766	
Anaerobic degradation of aromatic compounds	15371	
Arginine; urea cycle, polyamines	62519	
Aromatic amino acids and derivatives	49603	
Bacterial cytostatics, differentiation factors and antibiotics	1385	
Bacteriocins, ribosomally synthesized antibacterial peptides	624	
Biologically active compounds in metazoan cell defence and differentiation	5983	
Biosynthesis of galactoglycans and related lipopolysacharides	29719	
Biosynthesis of phenylpropanoids	1204	
Biotin	30215	
Branched-chain amino acids	106533	
CO2 fixation	61608	
CRISPRs and associated hypotheticals	306	
CRISPs	590	
Capsular and extracellular polysacchrides	67373	
Carbohydrates	5111	
Carotenoid biosynthesis	2142	
Catabolism of an unknown compound	2192	
Cell Division	23280	
Cell wall of Mycobacteria	22051	
Central carbohydrate metabolism	221095	
Chemotaxis, response regulators	546	
Choline bitartrate degradation, putative	3667	
Chromosome Replication	2040	
Clustering-based subsystems	26487	
Coenzyme A	12882	
Coenzyme B	35	
Coenzyme F420	3381	
Coenzyme M	812	
Cold shock	1445	
Cytochrome biogenesis	18278	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	3247	
DNA metabolism	279	
DNA polymerase III epsilon cluster	3057	
DNA recombination	5652	
DNA repair	104455	
DNA replication	95397	
DNA uptake, competence	5137	
Dessication stress	16	
Detection	16797	
Detoxification	10855	
Di- and oligosaccharides	73615	
Electron accepting reactions	40220	
Electron donating reactions	85365	
Electron transport and photophosphorylation	69	
Fatty acid metabolic cluster	46162	
Fatty acids	86649	
Fermentation	59260	
Flagella protein?	808	
Flagellar motility in Prokaryota	26313	
Folate and pterines	177577	
Gene Transfer Agent (GTA)	482	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	53111	
Glycoside hydrolases	2620	
Gram-Negative cell wall components	40210	
Gram-Positive cell wall components	7623	
Heat shock	26852	
Histidine Metabolism	21103	
Hypothetical Related to Dihydroorate Dehydrogenase	1056	
Hypothetical associated with RecF	813	
Hypothetical in Lysine biosynthetic cluster	3966	
Hypothetical lipase related to Phosphatidate metabolism	2446	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	5224	
Inorganic sulfur assimilation	20592	
Invasion and intracellular resistance	417	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	12283	
Isoprenoids	35933	
Light-harvesting complexes	5	
Lipid-derived mediators	224	
Lipoic acid	3351	
Lysine Biosynthesis	849	
Lysine, threonine, methionine, and cysteine	137274	
Metabolism of central aromatic intermediates	30546	
Methylamine utilization	16445	
Molybdopterin oxidoreductase	4560	
Monosaccharides	90664	
NAD and NADP	23615	
Nucleotidyl-phosphate metabolic cluster	19533	
One-carbon Metabolism	107744	
Organic acids	49612	
Organic sulfur assimilation	19792	
Osmotic stress	17820	
Oxidative stress	51471	
Pathogenicity islands	14198	
Peripheral pathways for catabolism of aromatic compounds	52516	
Periplasmic Stress	3744	
Phages, Prophages	39724	
Phosphate metabolism	5795	
Phospholipids	34014	
Plant Alkaloids	1111	
Plant Hormones	11829	
Plant Octadecanoids	32	
Plant-Prokaryote DOE project	369079	
Plasmid related functions	465	
Polysaccharides	25493	
Probably GTP or GMP signaling related	9413	
Probably Pyrimidine biosynthesis-related	2745	
Probably Ybbk-related hypothetical membrane proteins	1539	
Probably organic hydroperoxide resistance related hypothetical protein	1183	
Programmed Cell Death and Toxin-antitoxin Systems	2075	
Proline and 4-hydroxyproline	18131	
Proteasome related clusters	84	
Protein and nucleoprotein secretion system, Type IV	7334	
Protein biosynthesis	209945	
Protein degradation	63173	
Protein export?	13143	
Protein folding	34770	
Protein processing and modification	54401	
Protein secretion system, Type I	734	
Protein secretion system, Type II	15826	
Protein secretion system, Type III	646	
Protein secretion system, Type V	164	
Protein secretion system, Type VI	12172	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	67	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	1194	
Protein translocation across cytoplasmic membrane	20221	
Proteolytic pathway	102	
Purines	70445	
Putative GGDEF domain protein related to agglutinin secretion	313	
Putative Isoquinoline 1-oxidoreductase subunit	6734	
Putative asociate of RNA polymerase sigma-54 factor rpoN	13497	
Putrescine/GABA utilization cluster-temporal,to add to SSs	4769	
Pyridoxine	20370	
Pyrimidines	54953	
Pyruvate kinase associated cluster	3941	
Quinone cofactors	19655	
Quorum sensing and biofilm formation	4184	
RNA processing and modification	120707	
Recombination related cluster	1837	
Regulation of virulence	12771	
Related to Menaquinone-cytochrome C reductase 	415	
Resistance to antibiotics and toxic compounds	94127	
Reverse electron transport	153	
Riboflavin, FMN, FAD	9505	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	8097	
Ribosome-related cluster	8742	
Sarcosine oxidase	2344	
Selenoproteins	19137	
Shiga toxin cluster	4750	
Siderophores	4717	
Signal transduction in Eukaryotes	2	
Social motility and nonflagellar swimming in bacteria	104	
Sodium Ion-Coupled Energetics	587	
Spore DNA protection	1	
Sugar Phosphotransferase Systems, PTS	2339	
Sugar alcohols	30820	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	7445	
Tetrapyrroles	30662	
Three hypotheticals linked to lipoprotein biosynthesis	1886	
TldD cluster	4435	
Toxins and superantigens	509	
Transcription	54643	
Translation	7191	
Transposable elements	6374	
Triacylglycerols	621	
Tricarboxylate transporter	6737	
Two related proteases	7782	
Uni- Sym- and Antiporters	4002	
alpha-proteobacterial cluster of hypotheticals	1139	
proteosome related	5216	
recX and regulatory cluster	2193	
tRNA sulfuration	3264	

