Taxon	
mgm4664925.3	
ABC transporters	71567	
ATP synthases	20352	
Acid stress	4536	
Adhesion	5086	
Alanine, serine, and glycine	87655	
Aminosugars	19890	
Anaerobic degradation of aromatic compounds	28821	
Arginine; urea cycle, polyamines	107605	
Aromatic amino acids and derivatives	91784	
Bacterial cytostatics, differentiation factors and antibiotics	2534	
Bacteriocins, ribosomally synthesized antibacterial peptides	924	
Biologically active compounds in metazoan cell defence and differentiation	12670	
Biosynthesis of galactoglycans and related lipopolysacharides	49715	
Biosynthesis of phenylpropanoids	2150	
Biotin	55146	
Branched-chain amino acids	186140	
CO2 fixation	110627	
CRISPRs and associated hypotheticals	1136	
CRISPs	2372	
Capsular and extracellular polysacchrides	119270	
Carbohydrates	8964	
Carotenoid biosynthesis	8173	
Catabolism of an unknown compound	1826	
Cell Division	38064	
Cell wall of Mycobacteria	44921	
Central carbohydrate metabolism	398708	
Chemotaxis, response regulators	800	
Choline bitartrate degradation, putative	7746	
Chromosome Replication	5920	
Clustering-based subsystems	42424	
Coenzyme A	22474	
Coenzyme B	93	
Coenzyme F420	6133	
Coenzyme M	1101	
Cold shock	2903	
Cytochrome biogenesis	30938	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	3542	
DNA metabolism	229	
DNA polymerase III epsilon cluster	5302	
DNA recombination	9021	
DNA repair	163319	
DNA replication	145554	
DNA uptake, competence	7923	
Dessication stress	11	
Detection	27704	
Detoxification	17337	
Di- and oligosaccharides	140015	
Electron accepting reactions	87990	
Electron donating reactions	174873	
Electron transport and photophosphorylation	100	
Fatty acid metabolic cluster	83390	
Fatty acids	165007	
Fermentation	126192	
Flagella protein?	2882	
Flagellar motility in Prokaryota	64991	
Folate and pterines	298374	
Gene Transfer Agent (GTA)	645	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	88577	
Glycoside hydrolases	4027	
Gram-Negative cell wall components	85108	
Gram-Positive cell wall components	14142	
Heat shock	45107	
Histidine Metabolism	35366	
Hypothetical Related to Dihydroorate Dehydrogenase	2291	
Hypothetical associated with RecF	1068	
