Taxon	
mgm4637849.3	
ABC transporters	26019	
ATP synthases	8436	
Acid stress	2194	
Adhesion	1910	
Alanine, serine, and glycine	36667	
Aminosugars	9492	
Anaerobic degradation of aromatic compounds	10407	
Arginine; urea cycle, polyamines	44540	
Aromatic amino acids and derivatives	36376	
Bacterial cytostatics, differentiation factors and antibiotics	1206	
Bacteriocins, ribosomally synthesized antibacterial peptides	386	
Biologically active compounds in metazoan cell defence and differentiation	4102	
Biosynthesis of galactoglycans and related lipopolysacharides	20415	
Biosynthesis of phenylpropanoids	801	
Biotin	21479	
Branched-chain amino acids	72817	
CO2 fixation	43987	
CRISPRs and associated hypotheticals	268	
CRISPs	562	
Capsular and extracellular polysacchrides	46207	
Carbohydrates	3424	
Carotenoid biosynthesis	3266	
Catabolism of an unknown compound	1111	
Cell Division	15486	
Cell wall of Mycobacteria	17032	
Central carbohydrate metabolism	154754	
Chemotaxis, response regulators	425	
Choline bitartrate degradation, putative	2713	
Chromosome Replication	1983	
Clustering-based subsystems	16489	
Coenzyme A	8769	
Coenzyme B	33	
Coenzyme F420	2219	
Coenzyme M	436	
Cold shock	967	
Cytochrome biogenesis	11652	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1662	
DNA metabolism	161	
DNA polymerase III epsilon cluster	2269	
DNA recombination	3828	
DNA repair	72886	
DNA replication	66429	
DNA uptake, competence	3513	
Dessication stress	9	
Detection	11292	
Detoxification	8134	
Di- and oligosaccharides	56381	
Electron accepting reactions	32988	
Electron donating reactions	60798	
Electron transport and photophosphorylation	154	
Fatty acid metabolic cluster	33267	
Fatty acids	62261	
Fermentation	44889	
Flagella protein?	1242	
Flagellar motility in Prokaryota	28158	
Folate and pterines	119908	
Gene Transfer Agent (GTA)	491	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	35155	
Glycoside hydrolases	1364	
Gram-Negative cell wall components	32885	
Gram-Positive cell wall components	5106	
Heat shock	19422	
Histidine Metabolism	14313	
Hypothetical Related to Dihydroorate Dehydrogenase	917	
Hypothetical associated with RecF	615	
Hypothetical in Lysine biosynthetic cluster	3233	
Hypothetical lipase related to Phosphatidate metabolism	1688	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3769	
Inorganic sulfur assimilation	15040	
Invasion and intracellular resistance	261	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	8441	
Isoprenoids	27445	
Light-harvesting complexes	10	
Lipid-derived mediators	196	
Lipoic acid	2160	
Lysine Biosynthesis	754	
Lysine, threonine, methionine, and cysteine	102608	
