Taxon	
mgm4664886.3	
ABC transporters	31134	
ATP synthases	6926	
Acid stress	1746	
Adhesion	1840	
Alanine, serine, and glycine	34183	
Aminosugars	6439	
Anaerobic degradation of aromatic compounds	11536	
Arginine; urea cycle, polyamines	42926	
Aromatic amino acids and derivatives	34638	
Bacterial cytostatics, differentiation factors and antibiotics	1115	
Bacteriocins, ribosomally synthesized antibacterial peptides	339	
Biologically active compounds in metazoan cell defence and differentiation	3221	
Biosynthesis of galactoglycans and related lipopolysacharides	18991	
Biosynthesis of phenylpropanoids	919	
Biotin	22404	
Branched-chain amino acids	73424	
CO2 fixation	43725	
CRISPRs and associated hypotheticals	410	
CRISPs	884	
Capsular and extracellular polysacchrides	44569	
Carbohydrates	3100	
Carotenoid biosynthesis	3550	
Catabolism of an unknown compound	624	
Cell Division	13641	
Cell wall of Mycobacteria	17905	
Central carbohydrate metabolism	146026	
Chemotaxis, response regulators	317	
Choline bitartrate degradation, putative	3004	
Chromosome Replication	1786	
Clustering-based subsystems	16621	
Coenzyme A	8507	
Coenzyme B	25	
Coenzyme F420	2484	
Coenzyme M	512	
Cold shock	1014	
Cytochrome biogenesis	10782	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1226	
DNA metabolism	84	
DNA polymerase III epsilon cluster	2068	
DNA recombination	3517	
DNA repair	62303	
DNA replication	55987	
DNA uptake, competence	2994	
Dessication stress	12	
Detection	10679	
Detoxification	7195	
Di- and oligosaccharides	46543	
Electron accepting reactions	30967	
Electron donating reactions	59428	
Electron transport and photophosphorylation	40	
Fatty acid metabolic cluster	32888	
Fatty acids	66902	
Fermentation	45754	
Flagella protein?	946	
Flagellar motility in Prokaryota	23344	
Folate and pterines	113396	
Gene Transfer Agent (GTA)	203	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	34744	
Glycoside hydrolases	1541	
Gram-Negative cell wall components	32909	
Gram-Positive cell wall components	5110	
Heat shock	17217	
Histidine Metabolism	13462	
Hypothetical Related to Dihydroorate Dehydrogenase	738	
Hypothetical associated with RecF	510	
Hypothetical in Lysine biosynthetic cluster	2818	
Hypothetical lipase related to Phosphatidate metabolism	1548	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3333	
Inorganic sulfur assimilation	13342	
Invasion and intracellular resistance	111	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	7707	
Isoprenoids	25333	
Light-harvesting complexes	3	
Lipid-derived mediators	175	
Lipoic acid	1986	
Lysine Biosynthesis	726	
Lysine, threonine, methionine, and cysteine	91676	
Metabolism of central aromatic intermediates	30619	
Methylamine utilization	12577	
Molybdopterin oxidoreductase	3245	
Monosaccharides	55979	
NAD and NADP	14753	
Nucleotidyl-phosphate metabolic cluster	14843	
One-carbon Metabolism	74067	
Organic acids	36956	
Organic sulfur assimilation	15903	
Osmotic stress	11854	
Oxidative stress	39509	
Pathogenicity islands	8884	
Peripheral pathways for catabolism of aromatic compounds	44092	
Periplasmic Stress	2842	
Phages, Prophages	27600	
Phosphate metabolism	3980	
Phospholipids	23594	
Plant Alkaloids	690	
Plant Hormones	8055	
Plant Octadecanoids	17	
Plant-Prokaryote DOE project	255147	
Plasmid related functions	833	
Polysaccharides	18534	
Probably GTP or GMP signaling related	5866	
Probably Pyrimidine biosynthesis-related	1710	
Probably Ybbk-related hypothetical membrane proteins	1127	
Probably organic hydroperoxide resistance related hypothetical protein	972	
Programmed Cell Death and Toxin-antitoxin Systems	3099	
Proline and 4-hydroxyproline	11304	
Proteasome related clusters	27	
Protein and nucleoprotein secretion system, Type IV	6830	
Protein biosynthesis	127887	
Protein degradation	39239	
Protein export?	8066	
Protein folding	24380	
Protein processing and modification	38181	
Protein secretion system, Type I	142	
Protein secretion system, Type II	13592	
Protein secretion system, Type III	451	
Protein secretion system, Type V	189	
Protein secretion system, Type VI	9176	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	50	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	656	
Protein translocation across cytoplasmic membrane	12529	
Proteolytic pathway	342	
Purines	43774	
Putative GGDEF domain protein related to agglutinin secretion	143	
Putative Isoquinoline 1-oxidoreductase subunit	11046	
Putative asociate of RNA polymerase sigma-54 factor rpoN	8932	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3619	
Pyridoxine	13206	
Pyrimidines	35087	
Pyruvate kinase associated cluster	2727	
Quinone cofactors	13382	
Quorum sensing and biofilm formation	2473	
RNA processing and modification	75999	
Recombination related cluster	1065	
Regulation of virulence	7705	
Related to Menaquinone-cytochrome C reductase 	261	
Resistance to antibiotics and toxic compounds	98081	
Reverse electron transport	57	
Riboflavin, FMN, FAD	5813	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	4642	
Ribosome-related cluster	5612	
Sarcosine oxidase	2184	
Selenoproteins	12837	
Shiga toxin cluster	2859	
Siderophores	2762	
Signal transduction in Eukaryotes	6	
Social motility and nonflagellar swimming in bacteria	70	
Sodium Ion-Coupled Energetics	266	
Sugar Phosphotransferase Systems, PTS	1453	
Sugar alcohols	19096	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	3653	
Tetrapyrroles	25622	
Three hypotheticals linked to lipoprotein biosynthesis	1554	
TldD cluster	3069	
Toxins and superantigens	273	
Transcription	36240	
Translation	5444	
Transposable elements	4215	
Triacylglycerols	583	
Tricarboxylate transporter	2314	
Two related proteases	4143	
Uni- Sym- and Antiporters	1602	
alpha-proteobacterial cluster of hypotheticals	1881	
proteosome related	2002	
recX and regulatory cluster	1365	
tRNA sulfuration	2387	

