Taxon	
mgm4637813.3	
ABC transporters	35384	
ATP synthases	8323	
Acid stress	1934	
Adhesion	1676	
Alanine, serine, and glycine	40883	
Aminosugars	9220	
Anaerobic degradation of aromatic compounds	11151	
Arginine; urea cycle, polyamines	45050	
Aromatic amino acids and derivatives	36160	
Bacterial cytostatics, differentiation factors and antibiotics	1144	
Bacteriocins, ribosomally synthesized antibacterial peptides	425	
Biologically active compounds in metazoan cell defence and differentiation	4347	
Biosynthesis of galactoglycans and related lipopolysacharides	22034	
Biosynthesis of phenylpropanoids	977	
Biotin	22074	
Branched-chain amino acids	79311	
CO2 fixation	46507	
CRISPRs and associated hypotheticals	356	
CRISPs	696	
Capsular and extracellular polysacchrides	50263	
Carbohydrates	3778	
Carotenoid biosynthesis	2125	
Catabolism of an unknown compound	1502	
Cell Division	17455	
Cell wall of Mycobacteria	16936	
Central carbohydrate metabolism	163759	
Chemotaxis, response regulators	382	
Choline bitartrate degradation, putative	2962	
Chromosome Replication	1454	
Clustering-based subsystems	19284	
Coenzyme A	9374	
Coenzyme B	14	
Coenzyme F420	2529	
Coenzyme M	567	
Cold shock	1054	
Cytochrome biogenesis	13747	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2381	
DNA metabolism	214	
DNA polymerase III epsilon cluster	2245	
DNA recombination	4363	
DNA repair	77881	
DNA replication	71399	
DNA uptake, competence	3773	
Dessication stress	11	
Detection	11965	
Detoxification	7883	
Di- and oligosaccharides	54741	
Electron accepting reactions	30188	
Electron donating reactions	63876	
Electron transport and photophosphorylation	103	
Fatty acid metabolic cluster	34268	
Fatty acids	64505	
Fermentation	43764	
Flagella protein?	578	
Flagellar motility in Prokaryota	19496	
Folate and pterines	132294	
Gene Transfer Agent (GTA)	542	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	38982	
Glycoside hydrolases	1874	
Gram-Negative cell wall components	30216	
Gram-Positive cell wall components	5848	
Heat shock	19790	
Histidine Metabolism	15274	
Hypothetical Related to Dihydroorate Dehydrogenase	718	
Hypothetical associated with RecF	641	
Hypothetical in Lysine biosynthetic cluster	3133	
Hypothetical lipase related to Phosphatidate metabolism	1780	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3960	
Inorganic sulfur assimilation	15364	
Invasion and intracellular resistance	271	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	9083	
Isoprenoids	27252	
Light-harvesting complexes	2	
Lipid-derived mediators	161	
Lipoic acid	2462	
Lysine Biosynthesis	652	
Lysine, threonine, methionine, and cysteine	101550	
Metabolism of central aromatic intermediates	22457	
Methylamine utilization	12799	
Molybdopterin oxidoreductase	3652	
Monosaccharides	66946	
NAD and NADP	17444	
Nucleotidyl-phosphate metabolic cluster	15369	
One-carbon Metabolism	80473	
Organic acids	36579	
Organic sulfur assimilation	14161	
Osmotic stress	13780	
Oxidative stress	38493	
Pathogenicity islands	10658	
Peripheral pathways for catabolism of aromatic compounds	38555	
Periplasmic Stress	2701	
Phages, Prophages	31759	
Phosphate metabolism	4365	
Phospholipids	25203	
Plant Alkaloids	837	
Plant Hormones	8289	
Plant Octadecanoids	29	
Plant-Prokaryote DOE project	274935	
Plasmid related functions	376	
Polysaccharides	18748	
Probably GTP or GMP signaling related	7043	
Probably Pyrimidine biosynthesis-related	2069	
Probably Ybbk-related hypothetical membrane proteins	1247	
Probably organic hydroperoxide resistance related hypothetical protein	902	
Programmed Cell Death and Toxin-antitoxin Systems	2147	
Proline and 4-hydroxyproline	13352	
Proteasome related clusters	66	
Protein and nucleoprotein secretion system, Type IV	5904	
Protein biosynthesis	157344	
Protein degradation	46137	
Protein export?	9776	
Protein folding	25938	
Protein processing and modification	41112	
Protein secretion system, Type I	434	
Protein secretion system, Type II	11815	
Protein secretion system, Type III	458	
Protein secretion system, Type V	113	
Protein secretion system, Type VI	9271	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	68	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	853	
Protein translocation across cytoplasmic membrane	15543	
Proteolytic pathway	72	
Purines	52996	
Putative GGDEF domain protein related to agglutinin secretion	244	
Putative Isoquinoline 1-oxidoreductase subunit	5065	
Putative asociate of RNA polymerase sigma-54 factor rpoN	10110	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3422	
Pyridoxine	15002	
Pyrimidines	40562	
Pyruvate kinase associated cluster	2995	
Quinone cofactors	14504	
Quorum sensing and biofilm formation	3232	
RNA processing and modification	89496	
Recombination related cluster	1368	
Regulation of virulence	9555	
Related to Menaquinone-cytochrome C reductase 	389	
Resistance to antibiotics and toxic compounds	70750	
Reverse electron transport	117	
Riboflavin, FMN, FAD	6984	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	5739	
Ribosome-related cluster	6619	
Sarcosine oxidase	1825	
Selenoproteins	13839	
Shiga toxin cluster	3744	
Siderophores	3812	
Signal transduction in Eukaryotes	4	
Social motility and nonflagellar swimming in bacteria	87	
Sodium Ion-Coupled Energetics	450	
Spore DNA protection	8	
Sugar Phosphotransferase Systems, PTS	1657	
