Taxon	
mgm4664884.3	
ABC transporters	22677	
ATP synthases	4528	
Acid stress	1091	
Adhesion	1161	
Alanine, serine, and glycine	23002	
Aminosugars	4560	
Anaerobic degradation of aromatic compounds	7905	
Arginine; urea cycle, polyamines	28751	
Aromatic amino acids and derivatives	23052	
Bacterial cytostatics, differentiation factors and antibiotics	688	
Bacteriocins, ribosomally synthesized antibacterial peptides	256	
Biologically active compounds in metazoan cell defence and differentiation	1952	
Biosynthesis of galactoglycans and related lipopolysacharides	12271	
Biosynthesis of phenylpropanoids	575	
Biotin	15009	
Branched-chain amino acids	50325	
CO2 fixation	29165	
CRISPRs and associated hypotheticals	276	
CRISPs	583	
Capsular and extracellular polysacchrides	28980	
Carbohydrates	2185	
Carotenoid biosynthesis	2223	
Catabolism of an unknown compound	593	
Cell Division	9164	
Cell wall of Mycobacteria	11898	
Central carbohydrate metabolism	99409	
Chemotaxis, response regulators	217	
Choline bitartrate degradation, putative	1985	
Chromosome Replication	1103	
Clustering-based subsystems	11173	
Coenzyme A	5593	
Coenzyme B	18	
Coenzyme F420	1800	
Coenzyme M	288	
Cold shock	621	
Cytochrome biogenesis	7515	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	974	
DNA metabolism	64	
DNA polymerase III epsilon cluster	1217	
DNA recombination	2301	
DNA repair	42825	
DNA replication	38405	
DNA uptake, competence	2120	
Dessication stress	8	
Detection	7361	
Detoxification	4858	
Di- and oligosaccharides	31566	
Electron accepting reactions	19876	
Electron donating reactions	40445	
Electron transport and photophosphorylation	30	
Fatty acid metabolic cluster	22442	
Fatty acids	44615	
Fermentation	30730	
Flagella protein?	627	
Flagellar motility in Prokaryota	14431	
Folate and pterines	75999	
Gene Transfer Agent (GTA)	178	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	23491	
Glycoside hydrolases	960	
Gram-Negative cell wall components	20936	
Gram-Positive cell wall components	3462	
Heat shock	11724	
Histidine Metabolism	9151	
Hypothetical Related to Dihydroorate Dehydrogenase	483	
Hypothetical associated with RecF	335	
Hypothetical in Lysine biosynthetic cluster	2092	
Hypothetical lipase related to Phosphatidate metabolism	975	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	2236	
Inorganic sulfur assimilation	8710	
Invasion and intracellular resistance	88	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	5062	
Isoprenoids	17308	
Light-harvesting complexes	4	
Lipid-derived mediators	101	
Lipoic acid	1451	
Lysine Biosynthesis	426	
Lysine, threonine, methionine, and cysteine	61514	
Metabolism of central aromatic intermediates	19459	
Methylamine utilization	8483	
Molybdopterin oxidoreductase	2210	
Monosaccharides	37272	
NAD and NADP	9768	
Nucleotidyl-phosphate metabolic cluster	9476	
One-carbon Metabolism	50222	
Organic acids	25023	
Organic sulfur assimilation	10144	
Osmotic stress	7598	
Oxidative stress	25291	
Pathogenicity islands	6465	
Peripheral pathways for catabolism of aromatic compounds	28573	
Periplasmic Stress	1872	
Phages, Prophages	18325	
Phosphate metabolism	2790	
Phospholipids	15452	
Plant Alkaloids	435	
Plant Hormones	5428	
Plant Octadecanoids	8	
Plant-Prokaryote DOE project	167020	
Plasmid related functions	432	
Polysaccharides	12535	
Probably GTP or GMP signaling related	4031	
Probably Pyrimidine biosynthesis-related	1134	
Probably Ybbk-related hypothetical membrane proteins	696	
Probably organic hydroperoxide resistance related hypothetical protein	571	
Programmed Cell Death and Toxin-antitoxin Systems	1874	
Proline and 4-hydroxyproline	7797	
Proteasome related clusters	38	
Protein and nucleoprotein secretion system, Type IV	4342	
Protein biosynthesis	87002	
Protein degradation	25970	
Protein export?	5695	
Protein folding	16599	
Protein processing and modification	25422	
Protein secretion system, Type I	90	
Protein secretion system, Type II	8711	
Protein secretion system, Type III	331	
Protein secretion system, Type V	92	
