Taxon	
mgm4637818.3	
ABC transporters	33295	
ATP synthases	7604	
Acid stress	1514	
Adhesion	1416	
Alanine, serine, and glycine	37797	
Aminosugars	9269	
Anaerobic degradation of aromatic compounds	11054	
Arginine; urea cycle, polyamines	42030	
Aromatic amino acids and derivatives	33971	
Bacterial cytostatics, differentiation factors and antibiotics	1335	
Bacteriocins, ribosomally synthesized antibacterial peptides	405	
Biologically active compounds in metazoan cell defence and differentiation	4157	
Biosynthesis of galactoglycans and related lipopolysacharides	21346	
Biosynthesis of phenylpropanoids	1074	
Biotin	21501	
Branched-chain amino acids	73536	
CO2 fixation	43819	
CRISPRs and associated hypotheticals	336	
CRISPs	594	
Capsular and extracellular polysacchrides	44967	
Carbohydrates	4158	
Carotenoid biosynthesis	1719	
Catabolism of an unknown compound	2153	
Cell Division	16069	
Cell wall of Mycobacteria	16169	
Central carbohydrate metabolism	154812	
Chemotaxis, response regulators	308	
Choline bitartrate degradation, putative	2331	
Chromosome Replication	1458	
Clustering-based subsystems	18825	
Coenzyme A	8878	
Coenzyme B	16	
Coenzyme F420	3151	
Coenzyme M	584	
Cold shock	1240	
Cytochrome biogenesis	13566	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2619	
DNA metabolism	176	
DNA polymerase III epsilon cluster	2159	
DNA recombination	3948	
DNA repair	72596	
DNA replication	64168	
DNA uptake, competence	3535	
Dessication stress	10	
Detection	11501	
Detoxification	7592	
Di- and oligosaccharides	55224	
Electron accepting reactions	28230	
Electron donating reactions	61585	
Electron transport and photophosphorylation	113	
Fatty acid metabolic cluster	31946	
Fatty acids	59959	
Fermentation	41698	
Flagella protein?	392	
Flagellar motility in Prokaryota	16308	
Folate and pterines	121380	
Gene Transfer Agent (GTA)	290	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	35431	
Glycoside hydrolases	1507	
Gram-Negative cell wall components	23847	
Gram-Positive cell wall components	4899	
Heat shock	17691	
Histidine Metabolism	14740	
Hypothetical Related to Dihydroorate Dehydrogenase	670	
Hypothetical associated with RecF	709	
Hypothetical in Lysine biosynthetic cluster	2685	
Hypothetical lipase related to Phosphatidate metabolism	1670	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3361	
Inorganic sulfur assimilation	14791	
Invasion and intracellular resistance	257	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	8372	
Isoprenoids	25946	
Light-harvesting complexes	11	
Lipid-derived mediators	170	
Lipoic acid	2197	
Lysine Biosynthesis	566	
Lysine, threonine, methionine, and cysteine	93857	
Metabolism of central aromatic intermediates	21220	
Methylamine utilization	12125	
Molybdopterin oxidoreductase	2482	
Monosaccharides	66247	
NAD and NADP	16006	
Nucleotidyl-phosphate metabolic cluster	14922	
One-carbon Metabolism	73219	
Organic acids	33700	
Organic sulfur assimilation	13481	
Osmotic stress	12088	
Oxidative stress	36182	
Pathogenicity islands	9943	
Peripheral pathways for catabolism of aromatic compounds	37127	
Periplasmic Stress	2065	
Phages, Prophages	31347	
Phosphate metabolism	3913	
Phospholipids	23750	
Plant Alkaloids	627	
Plant Hormones	7885	
Plant Octadecanoids	8	
Plant-Prokaryote DOE project	255293	
Plasmid related functions	283	
Polysaccharides	17215	
Probably GTP or GMP signaling related	6473	
Probably Pyrimidine biosynthesis-related	1867	
Probably Ybbk-related hypothetical membrane proteins	1136	
Probably organic hydroperoxide resistance related hypothetical protein	936	
Programmed Cell Death and Toxin-antitoxin Systems	1558	
Proline and 4-hydroxyproline	12386	
Proteasome related clusters	48	
Protein and nucleoprotein secretion system, Type IV	5221	
Protein biosynthesis	139678	
Protein degradation	41583	
Protein export?	8641	
Protein folding	23120	
Protein processing and modification	37741	
Protein secretion system, Type I	362	
Protein secretion system, Type II	10146	
Protein secretion system, Type III	350	
Protein secretion system, Type V	70	
Protein secretion system, Type VI	7520	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	32	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	526	
Protein translocation across cytoplasmic membrane	13644	
Proteolytic pathway	54	
Purines	49687	
Putative GGDEF domain protein related to agglutinin secretion	203	
Putative Isoquinoline 1-oxidoreductase subunit	3758	
Putative asociate of RNA polymerase sigma-54 factor rpoN	11585	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3489	
Pyridoxine	14264	
Pyrimidines	36953	
Pyruvate kinase associated cluster	2802	
Quinone cofactors	13542	
Quorum sensing and biofilm formation	3084	
RNA processing and modification	79297	
Recombination related cluster	1077	
Regulation of virulence	8688	
Related to Menaquinone-cytochrome C reductase 	393	
Resistance to antibiotics and toxic compounds	61060	
Reverse electron transport	167	
Riboflavin, FMN, FAD	6899	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	5413	
Ribosome-related cluster	5803	
Sarcosine oxidase	1828	
Selenoproteins	14044	
Shiga toxin cluster	2699	
Siderophores	3696	
Social motility and nonflagellar swimming in bacteria	129	
Sodium Ion-Coupled Energetics	388	
Spore DNA protection	5	
Sugar Phosphotransferase Systems, PTS	1514	
Sugar alcohols	23899	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	5336	
Tetrapyrroles	22827	
Three hypotheticals linked to lipoprotein biosynthesis	1255	
TldD cluster	2783	
Toxins and superantigens	270	
Transcription	38924	
Translation	4693	
Transposable elements	4230	
Triacylglycerols	458	
Tricarboxylate transporter	3411	
Two related proteases	5920	
Uni- Sym- and Antiporters	2405	
alpha-proteobacterial cluster of hypotheticals	700	
proteosome related	4867	
recX and regulatory cluster	1531	
tRNA sulfuration	2247	

