Taxon	
mgm4637817.3	
ABC transporters	48430	
ATP synthases	10864	
Acid stress	2041	
Adhesion	1906	
Alanine, serine, and glycine	53547	
Aminosugars	13167	
Anaerobic degradation of aromatic compounds	16247	
Arginine; urea cycle, polyamines	60460	
Aromatic amino acids and derivatives	48465	
Bacterial cytostatics, differentiation factors and antibiotics	1777	
Bacteriocins, ribosomally synthesized antibacterial peptides	564	
Biologically active compounds in metazoan cell defence and differentiation	6760	
Biosynthesis of galactoglycans and related lipopolysacharides	29219	
Biosynthesis of phenylpropanoids	1688	
Biotin	30835	
Branched-chain amino acids	106241	
CO2 fixation	63301	
CRISPRs and associated hypotheticals	541	
CRISPs	969	
Capsular and extracellular polysacchrides	62844	
Carbohydrates	6156	
Carotenoid biosynthesis	2493	
Catabolism of an unknown compound	3314	
Cell Division	22775	
Cell wall of Mycobacteria	22523	
Central carbohydrate metabolism	224867	
Chemotaxis, response regulators	363	
Choline bitartrate degradation, putative	3217	
Chromosome Replication	1989	
Clustering-based subsystems	27152	
Coenzyme A	12571	
Coenzyme B	24	
Coenzyme F420	4940	
Coenzyme M	832	
Cold shock	1873	
Cytochrome biogenesis	19883	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	3880	
DNA metabolism	221	
DNA polymerase III epsilon cluster	3129	
DNA recombination	5584	
DNA repair	103296	
DNA replication	91220	
DNA uptake, competence	5091	
Dessication stress	9	
Detection	17175	
Detoxification	10466	
Di- and oligosaccharides	79259	
Electron accepting reactions	40089	
Electron donating reactions	89353	
Electron transport and photophosphorylation	61	
Fatty acid metabolic cluster	44629	
Fatty acids	84539	
Fermentation	60421	
Flagella protein?	569	
Flagellar motility in Prokaryota	21542	
Folate and pterines	175297	
Gene Transfer Agent (GTA)	326	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	50482	
Glycoside hydrolases	2172	
Gram-Negative cell wall components	31964	
Gram-Positive cell wall components	7035	
Heat shock	25191	
Histidine Metabolism	21605	
Hypothetical Related to Dihydroorate Dehydrogenase	826	
Hypothetical associated with RecF	983	
Hypothetical in Lysine biosynthetic cluster	3812	
Hypothetical lipase related to Phosphatidate metabolism	2369	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	5010	
Inorganic sulfur assimilation	21706	
Invasion and intracellular resistance	314	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	11588	
Isoprenoids	36640	
Light-harvesting complexes	4	
Lipid-derived mediators	216	
Lipoic acid	3101	
Lysine Biosynthesis	668	
Lysine, threonine, methionine, and cysteine	132791	
Metabolism of central aromatic intermediates	30511	
Methylamine utilization	17947	
Molybdopterin oxidoreductase	3172	
Monosaccharides	92722	
NAD and NADP	22457	
Nucleotidyl-phosphate metabolic cluster	22812	
One-carbon Metabolism	106183	
Organic acids	47953	
Organic sulfur assimilation	19278	
Osmotic stress	17152	
Oxidative stress	51679	
Pathogenicity islands	14095	
Peripheral pathways for catabolism of aromatic compounds	53276	
Periplasmic Stress	2620	
Phages, Prophages	45911	
Phosphate metabolism	6006	
Phospholipids	34523	
Plant Alkaloids	772	
Plant Hormones	11117	
Plant Octadecanoids	22	
Plant-Prokaryote DOE project	363319	
Plasmid related functions	360	
Polysaccharides	24237	
Probably GTP or GMP signaling related	9460	
Probably Pyrimidine biosynthesis-related	2402	
Probably Ybbk-related hypothetical membrane proteins	1693	
Probably organic hydroperoxide resistance related hypothetical protein	1324	
Programmed Cell Death and Toxin-antitoxin Systems	2292	
Proline and 4-hydroxyproline	17138	
Proteasome related clusters	60	
Protein and nucleoprotein secretion system, Type IV	7518	
Protein biosynthesis	201734	
Protein degradation	59002	
Protein export?	12400	
Protein folding	32346	
Protein processing and modification	54517	
Protein secretion system, Type I	539	
Protein secretion system, Type II	13488	
Protein secretion system, Type III	454	
Protein secretion system, Type V	95	
Protein secretion system, Type VI	10273	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	35	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	731	
Protein translocation across cytoplasmic membrane	19434	
Proteolytic pathway	76	
Purines	71087	
Putative GGDEF domain protein related to agglutinin secretion	226	
Putative Isoquinoline 1-oxidoreductase subunit	5346	
Putative asociate of RNA polymerase sigma-54 factor rpoN	17941	
Putrescine/GABA utilization cluster-temporal,to add to SSs	5039	
Pyridoxine	20450	
Pyrimidines	52501	
Pyruvate kinase associated cluster	3792	
Quinone cofactors	18983	
Quorum sensing and biofilm formation	4467	
RNA processing and modification	110321	
Recombination related cluster	1532	
Regulation of virulence	12147	
Related to Menaquinone-cytochrome C reductase 	564	
Resistance to antibiotics and toxic compounds	86169	
Reverse electron transport	241	
Riboflavin, FMN, FAD	9953	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	8084	
Ribosome-related cluster	8216	
Sarcosine oxidase	2703	
Selenoproteins	20200	
Shiga toxin cluster	3707	
Siderophores	4951	
Signal transduction in Eukaryotes	4	
Social motility and nonflagellar swimming in bacteria	122	
Sodium Ion-Coupled Energetics	632	
Spore DNA protection	2	
Sugar Phosphotransferase Systems, PTS	2332	
Sugar alcohols	35245	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	9028	
Tetrapyrroles	31733	
Three hypotheticals linked to lipoprotein biosynthesis	1773	
TldD cluster	3933	
Toxins and superantigens	414	
Transcription	56456	
Translation	6599	
Transposable elements	5912	
Triacylglycerols	573	
Tricarboxylate transporter	5515	
Two related proteases	8592	
Uni- Sym- and Antiporters	3680	
alpha-proteobacterial cluster of hypotheticals	865	
proteosome related	7561	
recX and regulatory cluster	1986	
tRNA sulfuration	3090	

