Taxon	
mgm4664897.3	
ABC transporters	18886	
ATP synthases	6306	
Acid stress	1647	
Adhesion	1574	
Alanine, serine, and glycine	26731	
Aminosugars	6250	
Anaerobic degradation of aromatic compounds	9072	
Arginine; urea cycle, polyamines	31479	
Aromatic amino acids and derivatives	27877	
Bacterial cytostatics, differentiation factors and antibiotics	827	
Bacteriocins, ribosomally synthesized antibacterial peptides	274	
Biologically active compounds in metazoan cell defence and differentiation	3855	
Biosynthesis of galactoglycans and related lipopolysacharides	15740	
Biosynthesis of phenylpropanoids	765	
Biotin	16072	
Branched-chain amino acids	57530	
CO2 fixation	34597	
CRISPRs and associated hypotheticals	294	
CRISPs	621	
Capsular and extracellular polysacchrides	36129	
Carbohydrates	2854	
Carotenoid biosynthesis	2509	
Catabolism of an unknown compound	855	
Cell Division	11544	
Cell wall of Mycobacteria	14341	
Central carbohydrate metabolism	128742	
Chemotaxis, response regulators	223	
Choline bitartrate degradation, putative	2187	
Chromosome Replication	2106	
Clustering-based subsystems	12906	
Coenzyme A	6410	
Coenzyme B	30	
Coenzyme F420	2157	
Coenzyme M	244	
Cold shock	887	
Cytochrome biogenesis	10015	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1229	
DNA metabolism	55	
DNA polymerase III epsilon cluster	1430	
DNA recombination	2747	
DNA repair	52026	
DNA replication	45745	
DNA uptake, competence	2346	
Dessication stress	10	
Detection	8507	
Detoxification	4904	
Di- and oligosaccharides	45843	
Electron accepting reactions	27247	
Electron donating reactions	58016	
Electron transport and photophosphorylation	30	
Fatty acid metabolic cluster	25975	
Fatty acids	49382	
Fermentation	39366	
Flagella protein?	772	
Flagellar motility in Prokaryota	18227	
Folate and pterines	89848	
Gene Transfer Agent (GTA)	103	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	27020	
Glycoside hydrolases	1141	
Gram-Negative cell wall components	25003	
Gram-Positive cell wall components	4167	
Heat shock	13856	
Histidine Metabolism	10554	
Hypothetical Related to Dihydroorate Dehydrogenase	700	
Hypothetical associated with RecF	396	
Hypothetical in Lysine biosynthetic cluster	2155	
Hypothetical lipase related to Phosphatidate metabolism	1349	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	2670	
Inorganic sulfur assimilation	9675	
Invasion and intracellular resistance	96	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	6300	
Isoprenoids	20116	
