Taxon	
mgm4664852.3	
ABC transporters	25774	
ATP synthases	6650	
Acid stress	1510	
Adhesion	1660	
Alanine, serine, and glycine	30208	
Aminosugars	6255	
Anaerobic degradation of aromatic compounds	9906	
Arginine; urea cycle, polyamines	37196	
Aromatic amino acids and derivatives	30441	
Bacterial cytostatics, differentiation factors and antibiotics	1128	
Bacteriocins, ribosomally synthesized antibacterial peptides	367	
Biologically active compounds in metazoan cell defence and differentiation	3417	
Biosynthesis of galactoglycans and related lipopolysacharides	16957	
Biosynthesis of phenylpropanoids	929	
Biotin	19252	
Branched-chain amino acids	64033	
CO2 fixation	38052	
CRISPRs and associated hypotheticals	361	
CRISPs	781	
Capsular and extracellular polysacchrides	39788	
Carbohydrates	3017	
Carotenoid biosynthesis	3064	
Catabolism of an unknown compound	676	
Cell Division	12722	
Cell wall of Mycobacteria	15463	
Central carbohydrate metabolism	132323	
Chemotaxis, response regulators	347	
Choline bitartrate degradation, putative	2639	
Chromosome Replication	1673	
Clustering-based subsystems	14767	
Coenzyme A	7701	
Coenzyme B	35	
Coenzyme F420	2231	
Coenzyme M	414	
Cold shock	1065	
Cytochrome biogenesis	10261	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1248	
DNA metabolism	62	
DNA polymerase III epsilon cluster	1824	
DNA recombination	3033	
DNA repair	56565	
DNA replication	51279	
DNA uptake, competence	2717	
Dessication stress	6	
Detection	9216	
Detoxification	6291	
Di- and oligosaccharides	43478	
Electron accepting reactions	28047	
Electron donating reactions	54665	
Electron transport and photophosphorylation	35	
Fatty acid metabolic cluster	28854	
Fatty acids	57130	
Fermentation	40404	
Flagella protein?	846	
Flagellar motility in Prokaryota	20629	
Folate and pterines	100965	
Gene Transfer Agent (GTA)	181	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	30671	
Glycoside hydrolases	1344	
Gram-Negative cell wall components	29361	
Gram-Positive cell wall components	4654	
Heat shock	15437	
Histidine Metabolism	11719	
Hypothetical Related to Dihydroorate Dehydrogenase	666	
Hypothetical associated with RecF	401	
Hypothetical in Lysine biosynthetic cluster	2492	
Hypothetical lipase related to Phosphatidate metabolism	1414	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3121	
Inorganic sulfur assimilation	11886	
Invasion and intracellular resistance	118	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	7278	
Isoprenoids	22809	
Light-harvesting complexes	4	
Lipid-derived mediators	141	
Lipoic acid	1737	
Lysine Biosynthesis	593	
Lysine, threonine, methionine, and cysteine	82511	
Metabolism of central aromatic intermediates	26388	
Methylamine utilization	11021	
Molybdopterin oxidoreductase	2942	
Monosaccharides	52345	
NAD and NADP	13112	
Nucleotidyl-phosphate metabolic cluster	12557	
One-carbon Metabolism	65375	
Organic acids	31754	
Organic sulfur assimilation	14091	
Osmotic stress	10410	
Oxidative stress	35152	
Pathogenicity islands	7772	
Peripheral pathways for catabolism of aromatic compounds	37730	
Periplasmic Stress	2631	
Phages, Prophages	26245	
Phosphate metabolism	3902	
Phospholipids	21200	
Plant Alkaloids	634	
Plant Hormones	7322	
Plant Octadecanoids	14	
Plant-Prokaryote DOE project	224931	
Plasmid related functions	765	
Polysaccharides	16571	
Probably GTP or GMP signaling related	5447	
Probably Pyrimidine biosynthesis-related	1568	
Probably Ybbk-related hypothetical membrane proteins	1066	
Probably organic hydroperoxide resistance related hypothetical protein	828	
Programmed Cell Death and Toxin-antitoxin Systems	2695	
Proline and 4-hydroxyproline	10441	
Proteasome related clusters	51	
Protein and nucleoprotein secretion system, Type IV	6098	
Protein biosynthesis	116675	
Protein degradation	35932	
Protein export?	7451	
Protein folding	22320	
Protein processing and modification	33675	
Protein secretion system, Type I	104	
Protein secretion system, Type II	11268	
Protein secretion system, Type III	476	
Protein secretion system, Type V	147	
Protein secretion system, Type VI	8557	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	51	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	647	
Protein translocation across cytoplasmic membrane	11662	
Proteolytic pathway	303	
Purines	39252	
Putative GGDEF domain protein related to agglutinin secretion	131	
