Taxon	
mgm4637848.3	
ABC transporters	28957	
ATP synthases	11627	
Acid stress	2754	
Adhesion	2576	
Alanine, serine, and glycine	47640	
Aminosugars	12431	
Anaerobic degradation of aromatic compounds	16308	
Arginine; urea cycle, polyamines	53690	
Aromatic amino acids and derivatives	49446	
Bacterial cytostatics, differentiation factors and antibiotics	1630	
Bacteriocins, ribosomally synthesized antibacterial peptides	373	
Biologically active compounds in metazoan cell defence and differentiation	7988	
Biosynthesis of galactoglycans and related lipopolysacharides	29135	
Biosynthesis of phenylpropanoids	1200	
Biotin	29725	
Branched-chain amino acids	101547	
CO2 fixation	61169	
CRISPRs and associated hypotheticals	559	
CRISPs	1183	
Capsular and extracellular polysacchrides	64068	
Carbohydrates	4966	
Carotenoid biosynthesis	4343	
Catabolism of an unknown compound	1484	
Cell Division	20761	
Cell wall of Mycobacteria	25334	
Central carbohydrate metabolism	228352	
Chemotaxis, response regulators	364	
Choline bitartrate degradation, putative	3888	
Chromosome Replication	4010	
Clustering-based subsystems	23100	
Coenzyme A	12362	
Coenzyme B	52	
Coenzyme F420	4014	
Coenzyme M	506	
Cold shock	1501	
Cytochrome biogenesis	17780	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	1947	
DNA metabolism	120	
DNA polymerase III epsilon cluster	2680	
DNA recombination	4663	
DNA repair	92382	
DNA replication	80112	
DNA uptake, competence	4304	
Dessication stress	6	
Detection	16038	
Detoxification	7993	
Di- and oligosaccharides	85831	
Electron accepting reactions	50043	
Electron donating reactions	100160	
Electron transport and photophosphorylation	45	
Fatty acid metabolic cluster	46160	
Fatty acids	89307	
Fermentation	73807	
Flagella protein?	1469	
Flagellar motility in Prokaryota	33511	
Folate and pterines	159377	
Gene Transfer Agent (GTA)	208	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	46755	
Glycoside hydrolases	2238	
Gram-Negative cell wall components	43798	
Gram-Positive cell wall components	7409	
Heat shock	24109	
Histidine Metabolism	20200	
Hypothetical Related to Dihydroorate Dehydrogenase	1202	
Hypothetical associated with RecF	627	
Hypothetical in Lysine biosynthetic cluster	3794	
Hypothetical lipase related to Phosphatidate metabolism	2383	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4820	
Inorganic sulfur assimilation	18037	
Invasion and intracellular resistance	179	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	11894	
Isoprenoids	36771	
Light-harvesting complexes	10	
Lipid-derived mediators	194	
Lipoic acid	2912	
Lysine Biosynthesis	823	
Lysine, threonine, methionine, and cysteine	140734	
Metabolism of central aromatic intermediates	35308	
Methylamine utilization	16120	
Molybdopterin oxidoreductase	5650	
Monosaccharides	94304	
NAD and NADP	20349	
Nucleotidyl-phosphate metabolic cluster	18031	
One-carbon Metabolism	105971	
Organic acids	49049	
Organic sulfur assimilation	20131	
Osmotic stress	13592	
Oxidative stress	50887	
Pathogenicity islands	11424	
Peripheral pathways for catabolism of aromatic compounds	57405	
Periplasmic Stress	3968	
Phages, Prophages	44265	
Phosphate metabolism	5550	
Phospholipids	34783	
Plant Alkaloids	970	
Plant Hormones	13551	
Plant Octadecanoids	30	
Plant-Prokaryote DOE project	350365	
Plasmid related functions	708	
Polysaccharides	35484	
Probably GTP or GMP signaling related	8860	
Probably Pyrimidine biosynthesis-related	2363	
Probably Ybbk-related hypothetical membrane proteins	1378	
Probably organic hydroperoxide resistance related hypothetical protein	1094	
Programmed Cell Death and Toxin-antitoxin Systems	4494	
Proline and 4-hydroxyproline	15905	
Proteasome related clusters	152	
Protein and nucleoprotein secretion system, Type IV	8194	
Protein biosynthesis	179409	
Protein degradation	58639	
Protein export?	11148	
Protein folding	34057	
Protein processing and modification	57730	
Protein secretion system, Type I	72	
Protein secretion system, Type II	15259	
Protein secretion system, Type III	496	
Protein secretion system, Type V	213	
Protein secretion system, Type VI	14174	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	102	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	910	
Protein translocation across cytoplasmic membrane	17641	
Proteolytic pathway	683	
Purines	63380	
Putative GGDEF domain protein related to agglutinin secretion	153	
Putative Isoquinoline 1-oxidoreductase subunit	9046	
Putative asociate of RNA polymerase sigma-54 factor rpoN	13737	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3527	
Pyridoxine	16741	
Pyrimidines	49205	
Pyruvate kinase associated cluster	3207	
Quinone cofactors	18367	
Quorum sensing and biofilm formation	3860	
RNA processing and modification	108497	
Recombination related cluster	1813	
Regulation of virulence	10793	
Related to Menaquinone-cytochrome C reductase 	394	
Resistance to antibiotics and toxic compounds	118249	
Reverse electron transport	130	
Riboflavin, FMN, FAD	8271	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6690	
Ribosome-related cluster	8668	
Sarcosine oxidase	1912	
Selenoproteins	19699	
Shiga toxin cluster	3518	
Siderophores	2215	
Signal transduction in Eukaryotes	6	
Social motility and nonflagellar swimming in bacteria	133	
Sodium Ion-Coupled Energetics	1105	
Spore DNA protection	6	
Sugar Phosphotransferase Systems, PTS	2189	
Sugar alcohols	29255	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	10157	
Tetrapyrroles	33475	
Three hypotheticals linked to lipoprotein biosynthesis	1878	
TldD cluster	4629	
Toxins and superantigens	639	
Transcription	50908	
Translation	6680	
Transposable elements	6492	
Triacylglycerols	444	
Tricarboxylate transporter	976	
Two related proteases	6452	
Uni- Sym- and Antiporters	2253	
alpha-proteobacterial cluster of hypotheticals	1439	
proteosome related	4958	
recX and regulatory cluster	2176	
tRNA sulfuration	3548	

