Taxon	
mgm4637812.3	
ABC transporters	36771	
ATP synthases	8425	
Acid stress	2071	
Adhesion	1619	
Alanine, serine, and glycine	41477	
Aminosugars	8831	
Anaerobic degradation of aromatic compounds	11604	
Arginine; urea cycle, polyamines	46277	
Aromatic amino acids and derivatives	36916	
Bacterial cytostatics, differentiation factors and antibiotics	1141	
Bacteriocins, ribosomally synthesized antibacterial peptides	453	
Biologically active compounds in metazoan cell defence and differentiation	4407	
Biosynthesis of galactoglycans and related lipopolysacharides	22298	
Biosynthesis of phenylpropanoids	938	
Biotin	23482	
Branched-chain amino acids	80288	
CO2 fixation	46323	
CRISPRs and associated hypotheticals	293	
CRISPs	586	
Capsular and extracellular polysacchrides	49927	
Carbohydrates	3771	
Carotenoid biosynthesis	1913	
Catabolism of an unknown compound	1833	
Cell Division	17482	
Cell wall of Mycobacteria	16963	
Central carbohydrate metabolism	164951	
Chemotaxis, response regulators	409	
Choline bitartrate degradation, putative	2791	
Chromosome Replication	1348	
Clustering-based subsystems	19462	
Coenzyme A	9324	
Coenzyme B	34	
Coenzyme F420	2803	
Coenzyme M	514	
Cold shock	1094	
Cytochrome biogenesis	13723	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2379	
DNA metabolism	206	
DNA polymerase III epsilon cluster	2378	
DNA recombination	4238	
DNA repair	76696	
DNA replication	70712	
DNA uptake, competence	3883	
Dessication stress	17	
Detection	12155	
Detoxification	8158	
Di- and oligosaccharides	52456	
Electron accepting reactions	30627	
Electron donating reactions	63722	
Electron transport and photophosphorylation	36	
Fatty acid metabolic cluster	34733	
Fatty acids	66232	
Fermentation	44329	
Flagella protein?	588	
Flagellar motility in Prokaryota	19323	
Folate and pterines	134425	
Gene Transfer Agent (GTA)	636	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	39150	
Glycoside hydrolases	1780	
Gram-Negative cell wall components	28901	
Gram-Positive cell wall components	5632	
Heat shock	20206	
Histidine Metabolism	15452	
Hypothetical Related to Dihydroorate Dehydrogenase	796	
Hypothetical associated with RecF	621	
Hypothetical in Lysine biosynthetic cluster	3188	
Hypothetical lipase related to Phosphatidate metabolism	1969	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3843	
Inorganic sulfur assimilation	15738	
Invasion and intracellular resistance	310	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	9195	
Isoprenoids	27584	
Light-harvesting complexes	1	
Lipid-derived mediators	154	
Lipoic acid	2461	
Lysine Biosynthesis	668	
Lysine, threonine, methionine, and cysteine	102080	
Metabolism of central aromatic intermediates	22245	
Methylamine utilization	13084	
Molybdopterin oxidoreductase	3371	
Monosaccharides	63843	
NAD and NADP	17221	
Nucleotidyl-phosphate metabolic cluster	15652	
One-carbon Metabolism	81412	
Organic acids	37436	
Organic sulfur assimilation	14712	
Osmotic stress	14224	
Oxidative stress	38635	
Pathogenicity islands	11028	
Peripheral pathways for catabolism of aromatic compounds	40343	
Periplasmic Stress	2538	
Phages, Prophages	31483	
Phosphate metabolism	4504	
Phospholipids	25422	
Plant Alkaloids	783	
Plant Hormones	8622	
Plant Octadecanoids	20	
Plant-Prokaryote DOE project	277320	
Plasmid related functions	385	
Polysaccharides	18121	
Probably GTP or GMP signaling related	7056	
Probably Pyrimidine biosynthesis-related	1993	
Probably Ybbk-related hypothetical membrane proteins	1256	
Probably organic hydroperoxide resistance related hypothetical protein	889	
Programmed Cell Death and Toxin-antitoxin Systems	2028	
Proline and 4-hydroxyproline	13523	
Proteasome related clusters	68	
Protein and nucleoprotein secretion system, Type IV	5586	
Protein biosynthesis	156738	
Protein degradation	46239	
Protein export?	9828	
Protein folding	26185	
Protein processing and modification	41832	
Protein secretion system, Type I	510	
Protein secretion system, Type II	11470	
Protein secretion system, Type III	435	
