Taxon	
mgm4637823.3	
ABC transporters	41857	
ATP synthases	9470	
Acid stress	2283	
Adhesion	1873	
Alanine, serine, and glycine	47947	
Aminosugars	11144	
Anaerobic degradation of aromatic compounds	13690	
Arginine; urea cycle, polyamines	54340	
Aromatic amino acids and derivatives	42506	
Bacterial cytostatics, differentiation factors and antibiotics	1440	
Bacteriocins, ribosomally synthesized antibacterial peptides	527	
Biologically active compounds in metazoan cell defence and differentiation	5527	
Biosynthesis of galactoglycans and related lipopolysacharides	25749	
Biosynthesis of phenylpropanoids	1205	
Biotin	26761	
Branched-chain amino acids	92908	
CO2 fixation	54855	
CRISPRs and associated hypotheticals	307	
CRISPs	570	
Capsular and extracellular polysacchrides	57709	
Carbohydrates	4605	
Carotenoid biosynthesis	1895	
Catabolism of an unknown compound	2444	
Cell Division	20564	
Cell wall of Mycobacteria	19668	
Central carbohydrate metabolism	190772	
Chemotaxis, response regulators	436	
Choline bitartrate degradation, putative	3218	
Chromosome Replication	1544	
Clustering-based subsystems	22993	
Coenzyme A	10982	
Coenzyme B	46	
Coenzyme F420	3431	
Coenzyme M	637	
Cold shock	1412	
Cytochrome biogenesis	16191	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	3044	
DNA metabolism	266	
DNA polymerase III epsilon cluster	2671	
DNA recombination	4834	
DNA repair	91050	
DNA replication	81001	
DNA uptake, competence	4353	
Dessication stress	15	
Detection	14424	
Detoxification	9254	
Di- and oligosaccharides	63556	
Electron accepting reactions	33633	
Electron donating reactions	74644	
Electron transport and photophosphorylation	58	
Fatty acid metabolic cluster	40260	
Fatty acids	76203	
Fermentation	51076	
Flagella protein?	557	
Flagellar motility in Prokaryota	20768	
Folate and pterines	155119	
Gene Transfer Agent (GTA)	534	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	45631	
Glycoside hydrolases	1943	
Gram-Negative cell wall components	32413	
Gram-Positive cell wall components	6581	
Heat shock	22279	
Histidine Metabolism	18607	
Hypothetical Related to Dihydroorate Dehydrogenase	824	
Hypothetical associated with RecF	790	
Hypothetical in Lysine biosynthetic cluster	3364	
Hypothetical lipase related to Phosphatidate metabolism	2277	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4560	
Inorganic sulfur assimilation	18344	
Invasion and intracellular resistance	392	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	10495	
Isoprenoids	31814	
Light-harvesting complexes	5	
Lipid-derived mediators	194	
Lipoic acid	2743	
Lysine Biosynthesis	671	
Lysine, threonine, methionine, and cysteine	118858	
Metabolism of central aromatic intermediates	26014	
Methylamine utilization	14715	
Molybdopterin oxidoreductase	3690	
Monosaccharides	79886	
NAD and NADP	20000	
Nucleotidyl-phosphate metabolic cluster	18388	
One-carbon Metabolism	94023	
Organic acids	43478	
Organic sulfur assimilation	16921	
Osmotic stress	15954	
Oxidative stress	44932	
Pathogenicity islands	12253	
Peripheral pathways for catabolism of aromatic compounds	46524	
Periplasmic Stress	2941	
