Taxon	
mgm4637829.3	
ABC transporters	46940	
ATP synthases	11478	
Acid stress	2671	
Adhesion	2326	
Alanine, serine, and glycine	55228	
Aminosugars	13041	
Anaerobic degradation of aromatic compounds	15594	
Arginine; urea cycle, polyamines	62353	
Aromatic amino acids and derivatives	48563	
Bacterial cytostatics, differentiation factors and antibiotics	1592	
Bacteriocins, ribosomally synthesized antibacterial peptides	682	
Biologically active compounds in metazoan cell defence and differentiation	6049	
Biosynthesis of galactoglycans and related lipopolysacharides	29593	
Biosynthesis of phenylpropanoids	1389	
Biotin	30614	
Branched-chain amino acids	106310	
CO2 fixation	62069	
CRISPRs and associated hypotheticals	321	
CRISPs	662	
Capsular and extracellular polysacchrides	67353	
Carbohydrates	5099	
Carotenoid biosynthesis	2291	
Catabolism of an unknown compound	2633	
Cell Division	23503	
Cell wall of Mycobacteria	22700	
Central carbohydrate metabolism	217286	
Chemotaxis, response regulators	477	
Choline bitartrate degradation, putative	3873	
Chromosome Replication	1818	
Clustering-based subsystems	26122	
Coenzyme A	12616	
Coenzyme B	57	
Coenzyme F420	3684	
Coenzyme M	726	
Cold shock	1654	
Cytochrome biogenesis	18791	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	3523	
DNA metabolism	303	
DNA polymerase III epsilon cluster	3174	
DNA recombination	5727	
DNA repair	104105	
DNA replication	95056	
DNA uptake, competence	5112	
Dessication stress	9	
Detection	16173	
Detoxification	10770	
Di- and oligosaccharides	72734	
Electron accepting reactions	39032	
Electron donating reactions	85440	
Electron transport and photophosphorylation	122	
Fatty acid metabolic cluster	46014	
Fatty acids	86832	
Fermentation	58008	
Flagella protein?	724	
Flagellar motility in Prokaryota	25279	
Folate and pterines	177600	
Gene Transfer Agent (GTA)	739	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	52567	
Glycoside hydrolases	2337	
Gram-Negative cell wall components	38357	
Gram-Positive cell wall components	7581	
Heat shock	26429	
Histidine Metabolism	21184	
Hypothetical Related to Dihydroorate Dehydrogenase	1002	
