Taxon	
mgm4637828.3	
ABC transporters	41349	
ATP synthases	9838	
Acid stress	2233	
Adhesion	2015	
Alanine, serine, and glycine	47816	
Aminosugars	11091	
Anaerobic degradation of aromatic compounds	13406	
Arginine; urea cycle, polyamines	54456	
Aromatic amino acids and derivatives	42668	
Bacterial cytostatics, differentiation factors and antibiotics	1491	
Bacteriocins, ribosomally synthesized antibacterial peptides	534	
Biologically active compounds in metazoan cell defence and differentiation	4983	
Biosynthesis of galactoglycans and related lipopolysacharides	25885	
Biosynthesis of phenylpropanoids	1163	
Biotin	26947	
Branched-chain amino acids	93241	
CO2 fixation	53697	
CRISPRs and associated hypotheticals	248	
CRISPs	525	
Capsular and extracellular polysacchrides	57730	
Carbohydrates	4343	
Carotenoid biosynthesis	1980	
Catabolism of an unknown compound	2218	
Cell Division	20356	
Cell wall of Mycobacteria	19858	
Central carbohydrate metabolism	188952	
Chemotaxis, response regulators	426	
Choline bitartrate degradation, putative	3232	
Chromosome Replication	1540	
Clustering-based subsystems	22968	
Coenzyme A	11120	
Coenzyme B	38	
Coenzyme F420	3364	
Coenzyme M	608	
Cold shock	1443	
Cytochrome biogenesis	16187	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	3153	
DNA metabolism	257	
DNA polymerase III epsilon cluster	2635	
DNA recombination	4834	
DNA repair	92291	
DNA replication	82962	
DNA uptake, competence	4365	
Dessication stress	19	
Detection	14546	
Detoxification	9405	
Di- and oligosaccharides	63037	
Electron accepting reactions	33576	
Electron donating reactions	73344	
Electron transport and photophosphorylation	59	
Fatty acid metabolic cluster	40746	
Fatty acids	76844	
Fermentation	50917	
Flagella protein?	619	
Flagellar motility in Prokaryota	21702	
Folate and pterines	155594	
Gene Transfer Agent (GTA)	677	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	45149	
Glycoside hydrolases	2004	
Gram-Negative cell wall components	32820	
Gram-Positive cell wall components	6406	
Heat shock	22672	
Histidine Metabolism	18731	
Hypothetical Related to Dihydroorate Dehydrogenase	891	
Hypothetical associated with RecF	860	
Hypothetical in Lysine biosynthetic cluster	3344	
Hypothetical lipase related to Phosphatidate metabolism	2144	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4504	
Inorganic sulfur assimilation	18287	
Invasion and intracellular resistance	447	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	10489	
Isoprenoids	32468	
Light-harvesting complexes	10	
Lipid-derived mediators	198	
Lipoic acid	2884	
Lysine Biosynthesis	786	
Lysine, threonine, methionine, and cysteine	118667	
Metabolism of central aromatic intermediates	26342	
Methylamine utilization	14798	
Molybdopterin oxidoreductase	3520	
Monosaccharides	78972	
NAD and NADP	20410	
Nucleotidyl-phosphate metabolic cluster	17556	
One-carbon Metabolism	93719	
Organic acids	42657	
Organic sulfur assimilation	16291	
Osmotic stress	15683	
Oxidative stress	45337	
Pathogenicity islands	12389	
Peripheral pathways for catabolism of aromatic compounds	46651	
Periplasmic Stress	2852	
Phages, Prophages	36345	
Phosphate metabolism	5126	
Phospholipids	29856	
Plant Alkaloids	784	
Plant Hormones	9769	
