Taxon	
mgm4637844.3	
ABC transporters	16453	
ATP synthases	5278	
Acid stress	1315	
Adhesion	1144	
Alanine, serine, and glycine	21018	
Aminosugars	4950	
Anaerobic degradation of aromatic compounds	6914	
Arginine; urea cycle, polyamines	25510	
Aromatic amino acids and derivatives	21749	
Bacterial cytostatics, differentiation factors and antibiotics	740	
Bacteriocins, ribosomally synthesized antibacterial peptides	250	
Biologically active compounds in metazoan cell defence and differentiation	3112	
Biosynthesis of galactoglycans and related lipopolysacharides	12346	
Biosynthesis of phenylpropanoids	551	
Biotin	14127	
Branched-chain amino acids	45068	
CO2 fixation	26572	
CRISPRs and associated hypotheticals	195	
CRISPs	438	
Capsular and extracellular polysacchrides	27788	
Carbohydrates	2039	
Carotenoid biosynthesis	2111	
Catabolism of an unknown compound	670	
Cell Division	9109	
Cell wall of Mycobacteria	11116	
Central carbohydrate metabolism	97505	
Chemotaxis, response regulators	164	
Choline bitartrate degradation, putative	1629	
Chromosome Replication	1332	
Clustering-based subsystems	10412	
Coenzyme A	5045	
Coenzyme B	16	
Coenzyme F420	1815	
Coenzyme M	229	
Cold shock	660	
Cytochrome biogenesis	7851	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	876	
DNA metabolism	79	
DNA polymerase III epsilon cluster	1363	
DNA recombination	2273	
DNA repair	41695	
DNA replication	36804	
DNA uptake, competence	2009	
Dessication stress	2	
Detection	6664	
Detoxification	4243	
Di- and oligosaccharides	33046	
Electron accepting reactions	21259	
Electron donating reactions	42153	
Electron transport and photophosphorylation	15	
Fatty acid metabolic cluster	20489	
Fatty acids	40635	
Fermentation	30551	
Flagella protein?	713	
Flagellar motility in Prokaryota	15166	
Folate and pterines	71577	
Gene Transfer Agent (GTA)	120	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	20956	
Glycoside hydrolases	914	
Gram-Negative cell wall components	19701	
Gram-Positive cell wall components	3066	
Heat shock	10859	
Histidine Metabolism	8466	
Hypothetical Related to Dihydroorate Dehydrogenase	580	
Hypothetical associated with RecF	309	
Hypothetical in Lysine biosynthetic cluster	1766	
Hypothetical lipase related to Phosphatidate metabolism	1026	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	2258	
Inorganic sulfur assimilation	8335	
Invasion and intracellular resistance	114	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	4972	
Isoprenoids	15806	
Light-harvesting complexes	3	
Lipid-derived mediators	112	
Lipoic acid	1200	
Lysine Biosynthesis	426	
Lysine, threonine, methionine, and cysteine	60981	
Metabolism of central aromatic intermediates	17196	
Methylamine utilization	7477	
Molybdopterin oxidoreductase	2221	
Monosaccharides	38838	
NAD and NADP	9227	
Nucleotidyl-phosphate metabolic cluster	8435	
One-carbon Metabolism	46970	
Organic acids	21945	
Organic sulfur assimilation	9682	
Osmotic stress	6228	
Oxidative stress	24500	
Pathogenicity islands	5578	
Peripheral pathways for catabolism of aromatic compounds	27378	
Periplasmic Stress	1747	
Phages, Prophages	19360	
Phosphate metabolism	2456	
Phospholipids	15414	
Plant Alkaloids	390	
Plant Hormones	5840	
Plant Octadecanoids	10	
Plant-Prokaryote DOE project	158621	
Plasmid related functions	347	
Polysaccharides	12310	
Probably GTP or GMP signaling related	3828	
Probably Pyrimidine biosynthesis-related	1061	
Probably Ybbk-related hypothetical membrane proteins	734	
Probably organic hydroperoxide resistance related hypothetical protein	499	
Programmed Cell Death and Toxin-antitoxin Systems	1786	
Proline and 4-hydroxyproline	7288	
Proteasome related clusters	42	
Protein and nucleoprotein secretion system, Type IV	3918	
Protein biosynthesis	81827	
Protein degradation	25845	
Protein export?	5153	
Protein folding	15301	
Protein processing and modification	25228	
Protein secretion system, Type I	64	
Protein secretion system, Type II	7808	
Protein secretion system, Type III	223	
Protein secretion system, Type V	78	
Protein secretion system, Type VI	5560	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	40	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	365	
Protein translocation across cytoplasmic membrane	8167	
Proteolytic pathway	242	
Purines	28139	
Putative GGDEF domain protein related to agglutinin secretion	98	
Putative Isoquinoline 1-oxidoreductase subunit	4659	
Putative asociate of RNA polymerase sigma-54 factor rpoN	5984	
Putrescine/GABA utilization cluster-temporal,to add to SSs	1925	
Pyridoxine	8095	
Pyrimidines	22143	
Pyruvate kinase associated cluster	1689	
Quinone cofactors	8525	
Quorum sensing and biofilm formation	1718	
RNA processing and modification	48021	
Recombination related cluster	648	
Regulation of virulence	4773	
Related to Menaquinone-cytochrome C reductase 	146	
Resistance to antibiotics and toxic compounds	52551	
Reverse electron transport	38	
Riboflavin, FMN, FAD	3661	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	2817	
Ribosome-related cluster	3573	
Sarcosine oxidase	1069	
Selenoproteins	8029	
Shiga toxin cluster	1618	
Siderophores	1985	
Signal transduction in Eukaryotes	3	
Social motility and nonflagellar swimming in bacteria	32	
Sodium Ion-Coupled Energetics	335	
Spore DNA protection	2	
Sugar Phosphotransferase Systems, PTS	930	
Sugar alcohols	12568	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	3921	
Tetrapyrroles	16132	
Three hypotheticals linked to lipoprotein biosynthesis	986	
TldD cluster	2081	
Toxins and superantigens	239	
Transcription	23307	
Translation	3050	
Transposable elements	2775	
Triacylglycerols	268	
Tricarboxylate transporter	906	
Two related proteases	2724	
Uni- Sym- and Antiporters	1107	
alpha-proteobacterial cluster of hypotheticals	979	
proteosome related	2002	
recX and regulatory cluster	927	
tRNA sulfuration	1610	

